Language|##|Name_1|##|Name_2|##|comments|##|Order
DE|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|new|##|82
DE_1|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|new|##|82
DE_2|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|new|##|82
DE_3|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|Mögliche Auswirkungen auf die Sicherheit und Gesundheit|##|new|##|82
EL|##|Πιθανές επιπτώσεις στην υγεία και την ασφάλεια|##|Πιθανές επιπτώσεις στην υγεία και την ασφάλεια|##|new|##|82
EL_1|##|Πιθανές επιπτώσεις στην υγεία και την ασφάλεια|##|Πιθανές επιπτώσεις στην υγεία και την ασφάλεια|##|new|##|82
EN|##|Possible impacts on health and safety|##|Possible impacts on health and safety|##|new|##|82
EN_1|##|Possible impacts on health and safety|##|Possible impacts on health and safety|##|new|##|82
EN_2|##|Possible impacts on health and safety|##|Possible impacts on health and safety|##|new|##|82
ES|##|Posibles repercusiones en la prevención de riesgos laborales|##|Posibles repercusiones en la prevención de riesgos laborales|##|new|##|82
ET|##|Võimalik mõju ohutusele ja tervisele|##|Võimalik mõju ohutusele ja tervisele|##|new|##|82
FI|##|Mahdolliset vaikutukset terveyteen ja turvallisuuteen|##|Mahdolliset vaikutukset terveyteen ja turvallisuuteen|##|new|##|82
FR|##|Incidences possibles sur la santé et la sécurité|##|Incidences possibles sur la santé et la sécurité|##|new|##|82
FR_1|##|Incidences possibles sur la santé et la sécurité|##|Incidences possibles sur la santé et la sécurité|##|new|##|82
FR_2|##|Incidences possibles sur la santé et la sécurité|##|Incidences possibles sur la santé et la sécurité|##|new|##|82
FR_3|##|Incidences possibles sur la santé et la sécurité|##|Incidences possibles sur la santé et la sécurité|##|new|##|82
HR|##|Mogući utjecaji na zdravlje i sigurnost zaposlenika|##|Mogući utjecaji na zdravlje i sigurnost zaposlenika|##|new|##|82
HU|##|Az egészségre és biztonságra gyakorolt lehetséges hatások|##|Az egészségre és biztonságra gyakorolt lehetséges hatások|##|new|##|82
IS|##|Hugsanleg áhrif á heilsu og öryggi|##|Hugsanleg áhrif á heilsu og öryggi|##|new|##|82
IT|##|Possibili impatti sulla salute e sulla sicurezza|##|Possibili impatti sulla salute e sulla sicurezza|##|new|##|82
IT_1|##|Possibili impatti sulla salute e sulla sicurezza|##|Possibili impatti sulla salute e sulla sicurezza|##|new|##|82
LT|##|Galimas poveikis darbuotojų saugai ir sveikatai|##|Galimas poveikis darbuotojų saugai ir sveikatai|##|new|##|82
LU|##|Méiglechen Impakt op d'Gesondheet an d'Sécherheet|##|Méiglechen Impakt op d'Gesondheet an d'Sécherheet|##|new|##|82
LV|##|Iespējamā ietekme uz veselību un drošību|##|Iespējamā ietekme uz veselību un drošību|##|new|##|82
MK|##|Можни влијанија врз здравјето и безбедноста на работа|##|Можни влијанија врз здравјето и безбедноста на работа|##|new|##|82
MT|##|Impatti possibbli fuq is-saħħa u s-sigurtà|##|Impatti possibbli fuq is-saħħa u s-sigurtà|##|new|##|82
NL|##|Mogelijke effecten op de veiligheid en gezondheid|##|Mogelijke effecten op de veiligheid en gezondheid|##|new|##|82
NL_1|##|Mogelijke effecten op de gezondheid en veiligheid|##|Mogelijke effecten op de gezondheid en veiligheid|##|new|##|82
NO|##|Mulig innvirkning på helse og sikkerhet|##|Mulig innvirkning på helse og sikkerhet|##|new|##|82
PL|##|Możliwy wpływ na zdrowie i bezpieczeństwo|##|Możliwy wpływ na zdrowie i bezpieczeństwo|##|new|##|82
PT|##|Possíveis impactos na segurança a saúde|##|Possíveis impactos na segurança a saúde|##|new|##|82
RO|##|Posibilul impact asupra sănătății și securității|##|Posibilul impact asupra sănătății și securității|##|new|##|82
RU_1|##|Возможное воздействие на здоровье и безопасность|##|Возможное воздействие на здоровье и безопасность|##|new|##|82
RU_2|##|возможное влияние на охрану труда сотрудников|##|возможное влияние на охрану труда сотрудников|##|new|##|82
RU_3|##|Возможное воздействие на здоровье и безопасность|##|Возможное воздействие на здоровье и безопасность|##|new|##|82
SK|##|Možný vplyv na zdravie a bezpečnosť|##|Možný vplyv na zdravie a bezpečnosť|##|new|##|82
SL|##|Možni vplivi na varnost in zdravje|##|Možni vplivi na varnost in zdravje|##|new|##|82
SR|##|Mogući uticaji na zdravlje i bezbednost|##|Mogući uticaji na zdravlje i bezbednost|##|new|##|82
SV|##|Möjlig inverkan på arbetsmiljöen|##|Möjlig inverkan på arbetsmiljöen|##|new|##|82
SV_1|##|Möjlig inverkan på hälsan och säkerheten|##|Möjlig inverkan på hälsan och säkerheten|##|new|##|82
EN|##|Worker participation|##|Worker participation|##|no change|##|91
EN|##|Reasons for addressing health and safety in the establishment|##|Reasons for addressing health and safety in the establishment|##|no change|##|92
EN|##|Main difficulties in addressing health and safety|##|Main difficulties in addressing health and safety|##|no change|##|98
EN|##|Difficulties in addressing psychosocial risks|##|Difficulties in addressing psychosocial risks|##|no change|##|108
BG|##|Възникващи рискове и тяхното управление|##|Възникващи рискове и тяхното управление|##|new|##|113
CS|##|Vznikající rizika a jejich řízení|##|Vznikající rizika a jejich řízení|##|new|##|113
DA|##|Risici i fremvækst og deres håndtering|##|Risici i fremvækst og deres håndtering|##|new|##|113
DE|##|Aufkommende Risiken und ihr Management|##|Aufkommende Risiken und ihr Management|##|new|##|113
DE_1|##|Aufkommende Risiken und ihr Management|##|Aufkommende Risiken und ihr Management|##|new|##|113
DE_2|##|Aufkommende Risiken und ihr Management|##|Aufkommende Risiken und ihr Management|##|new|##|113
DE_3|##|Aufkommende Risiken und ihr Management|##|Aufkommende Risiken und ihr Management|##|new|##|113
EL|##|Αναδυόμενοι κίνδυνοι και η διαχείρισή τους|##|Αναδυόμενοι κίνδυνοι και η διαχείρισή τους|##|new|##|113
EL_1|##|Αναδυόμενοι κίνδυνοι και η διαχείρισή τους|##|Αναδυόμενοι κίνδυνοι και η διαχείρισή τους|##|new|##|113
EN|##|Emerging risks and their management|##|Emerging risks and their management|##|new|##|113
EN_1|##|Emerging risks and their management|##|Emerging risks and their management|##|new|##|113
EN_2|##|Emerging risks and their management|##|Emerging risks and their management|##|new|##|113
ES|##|Los riesgos emergentes y su gestión|##|Los riesgos emergentes y su gestión|##|new|##|113
ET|##|Tekkivad riskid ja nende ohjamine|##|Tekkivad riskid ja nende ohjamine|##|new|##|113
FI|##|Kehittyvät riskit ja niiden hallinta|##|Kehittyvät riskit ja niiden hallinta|##|new|##|113
FR|##|Les risques émergents et leur gestion|##|Les risques émergents et leur gestion|##|new|##|113
FR_1|##|Les risques émergents et leur gestion|##|Les risques émergents et leur gestion|##|new|##|113
FR_2|##|Les risques émergents et leur gestion|##|Les risques émergents et leur gestion|##|new|##|113
FR_3|##|Les risques émergents et leur gestion|##|Les risques émergents et leur gestion|##|new|##|113
HR|##|Rizici u nastajanju i upravljanje njima|##|Rizici u nastajanju i upravljanje njima|##|new|##|113
HU|##|Felmerülő kockázatok és ezek kezelése|##|Pszichoszociális kockázatok és ezek kezelése|##|new|##|113
IS|##|Aðsteðjandi áhættuþættir og viðbrögð við þeim|##|Aðsteðjandi áhættuþættir og viðbrögð við þeim|##|new|##|113
IT|##|Rischi emergenti e loro gestione|##|Rischi emergenti e loro gestione|##|new|##|113
IT_1|##|Rischi emergenti e loro gestione|##|Rischi emergenti e loro gestione|##|new|##|113
LT|##|Kylanti rizika ir jos valdymas|##|Kylanti rizika ir jos valdymas|##|new|##|113
LU|##|Nei Risiken, déi entstinn, an hir Gestioun|##|Nei Risiken, déi entstinn, an hir Gestioun|##|new|##|113
LV|##|Jauni riski un to pārvaldība|##|Jauni riski un to pārvaldība|##|new|##|113
MK|##|Нови ризици и управување со нив|##|Нови ризици и управување со нив|##|new|##|113
MT|##|Riskji emerġenti u l-ġestjoni tagħhom|##|Riskji emerġenti u l-ġestjoni tagħhom|##|new|##|113
NL|##|Opkomende risico’s en het beheer ervan|##|Opkomende risico’s en het beheer ervan|##|new|##|113
NL_1|##|Opkomende risico’s en het beheer ervan|##|Opkomende risico’s en het beheer ervan|##|new|##|113
NO|##|Framvoksende risikoer og håndtering av disse|##|Framvoksende risikoer og håndtering av disse|##|new|##|113
PL|##|Pojawiające się zagrożenia i zarządzenie nimi|##|Pojawiające się zagrożenia i zarządzenie nimi|##|new|##|113
PT|##|Riscos emergentes e sua gestão|##|Riscos emergentes e sua gestão|##|new|##|113
RO|##|Riscurile emergente și gestionarea lor|##|Riscurile emergente și gestionarea lor|##|new|##|113
RU_1|##|Новые факторы риска и управление ими|##|Новые факторы риска и управление ими|##|new|##|113
RU_2|##|Новые факторы риска и управление ими|##|Новые факторы риска и управление ими|##|new|##|113
RU_3|##|Новые факторы риска и управление ими|##|Новые факторы риска и управление ими|##|new|##|113
SK|##|Vznikajúce riziká a ich riadenie|##|Vznikajúce riziká a ich riadenie|##|new|##|113
SL|##|Nastajajoča tveganja in njihovo upravljanje|##|Nastajajoča tveganja in njihovo upravljanje|##|new|##|113
SR|##|Rizici u nastajanju i upravljanje njima|##|Rizici u nastajanju i upravljanje njima|##|new|##|113
SV|##|Framväxande risker och hanteringen av dem|##|Framväxande risker och hanteringen av dem|##|new|##|113
SV_1|##|Framväxande risker och hanteringen av dem|##|Framväxande risker och hanteringen av dem|##|new|##|113
EN|##|Forms of employee representation|##|Forms of employee representation|##|no change|##|116
