EntryType;Column;Value;Order;BG;CS;DA;DE;DE_1;DE_2;DE_3;EL;EL_1;EN;EN_1;EN_2;ES;ET;FI;FR;FR_1;FR_2;FR_3;HR;HU;IS;IT;IT_1;LT;LU;LV;MK;MT;NL;NL_1;NO;PL;PT;RO;RU_1;RU_2;RU_3;SK;SL;SR;SV;SV_1
SubsetValue;Country;EU27_2020;1;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020
SubsetValue;Country;AT;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;BE;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;BG;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;CH;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;CY;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;CZ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;DE;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;DK;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;EE;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;EL;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;ES;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;FI;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;FR;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;HR;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;HU;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;IE;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;IS;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;IT;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;LT;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;LU;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;LV;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;MK;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;MT;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;NL;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;NO;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;PL;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;PO;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;RO;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;RS;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;SE;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;SI;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;SK;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SubsetValue;Country;UK;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;EU27_2020;1;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020;EU27_2020
CountryCode;CountryCode;AT;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;BE;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;BG;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;CY;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;CZ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;DE;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;DK;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;EE;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;EL;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;ES;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;FI;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;FR;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;HR;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;HU;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;IE;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;IT;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;LT;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;LU;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;LV;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;MT;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;NL;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;PL;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;PO;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;RO;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;SE;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;SI;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;SK;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;CH;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;IS;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;MK;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;NO;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;RS;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CountryCode;CountryCode;UK;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q151_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q154;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q154;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q155;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q155;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q157_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q159;Rather increased;1;По-скоро е се е увеличил;Spíše zvýšil;Steget;Eher zugenommen;Eher zugenommen;Eher zugenommen;Eher zugenommen;Μάλλον αυξήθηκαν;Μάλλον αυξήθηκαν;Rather increased;Rather increased;Rather increased;Más bien han aumentado;Pigem suurenenud;Pikemminkin lisääntyneet;Ont plutôt augmenté;Ont plutôt augmenté;Ont plutôt augmenté;Ont plutôt augmenté;Donekle povećala;Inkább növekedett;Heldur fjölgað;Aumentata;Aumentata;Greičiau padidėjo;Eischter zougeholl;Drīzāk palielinājies;Тенденција на раст;Pjuttost żdiedu;Eerder toegenomen;Eerder toegenomen;Gått opp;Raczej wzrosła;Aumentaram;A crescut relativ;Скорее участились;Скорее участились;Скорее участились;Skôr sa zvýšila;Dokaj povečala;Prilično se povećalo;Snarare ökat;Snarare ökat
Answer;E3Q159;Rather decreased;2;По-скоро е намалял;Spíše snížil;Faldet;Eher abgenommen;Eher abgenommen;Eher abgenommen;Eher abgenommen;Μάλλον μειώθηκαν;Μάλλον μειώθηκαν;Rather decreased;Rather decreased;Rather decreased;Más bien han disminuido;Pigem vähenenud;Pikemminkin vähentyneet ;Ont plutôt diminué;Ont plutôt diminué;Ont plutôt diminué;Ont plutôt diminué;Donekle smanjila;Inkább csökkent;Heldur fækkað;Diminuita;Diminuita;Greičiau sumažėjo;Eischter ofgeholl;Drīzāk samazinājies;Тенденција на опаѓање;Pjuttost naqsu;Eerder afgenomen;Eerder afgenomen;Gått ned;Raczej zmalała;Diminuíram;A scăzut relativ;Скорее сократились;Скорее сократились;Скорее сократились;Skôr sa znížila;Dokaj zmanjšala;Prilično se smanjilo;Snarare minskat;Snarare minskat
Answer;E3Q159;Stayed about the same;3;Останал е почти същият;Zůstal přibližně stejný;Forblevet nogenlunde uændret;In etwa gleich geblieben;In etwa gleich geblieben;In etwa gleich geblieben;In etwa gleich geblieben;Έμειναν περίπου οι ίδιες;Έμειναν περίπου οι ίδιες;Stayed about the same;Stayed about the same;Stayed about the same;Se han mantenido aproximadamente igual;Jäänud ligikaudu samaks;Pysyneet suunnilleen ennallaan;N'ont pas changé;N'ont pas changé;N'ont pas changé;n'ont pas changé;Ostala otprilike ista;Körülbelül ugyanolyan szinten maradt;Haldist nokkurn veginn óbreyttar;Rimasta invariata;Rimasta invariata;Liko maždaug toks pat;Ongeféier d'selwescht bliwwen;Palicis aptuveni tāds pats;Речиси исто ниво;Baqgħu kważi l-istess;Ongeveer gelijk gebleven;Hetzelfde gebleven;Holdt seg likt;Pozostała mniej więcej na tym samym poziomie;Permaneceram relativamente iguais;A rămas aproximativ la fel;Остались примерно на том же уровне;Остались примерно на том же уровне;Остались примерно на том же уровне;Zostala približne rovnaká;Ostala približno enaka;Ostalo je približno isto;Varit ungefär densamma;Varit ungefär desamma
Answer;E3Q159;Don’t know;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q160;Rather increased;1;По-скоро е се е увеличил;Spíše zvýšil;Steget;Eher zugenommen;Eher zugenommen;Eher zugenommen;Eher zugenommen;Μάλλον αυξήθηκαν;Μάλλον αυξήθηκαν;Rather increased;Rather increased;Rather increased;Más bien han aumentado;Pigem suurenenud;Pikemminkin lisääntyneet;A plutôt augmenté;A plutôt augmenté;A plutôt augmenté;A plutôt augmenté;Donekle povećala;Inkább növekedett;Heldur fjölgað;Aumentata;Aumentata;Greičiau padidėjo;Eischter zougeholl;Drīzāk palielinājies;Тенденција на раст;Pjuttost żdiedu;Eerder toegenomen;Eerder toegenomen;Gått opp;Raczej wzrosła;Aumentaram;A crescut relativ;Скорее участились;Скорее участились;Скорее участились;Skôr sa zvýšila;Dokaj povečala;Prilično se povećalo;Snarare ökat;Snarare ökat
Answer;E3Q160;Rather decreased;2;По-скоро е намалял;Spíše snížil;Faldet;Eher abgenommen;Eher abgenommen;Eher abgenommen;Eher abgenommen;Μάλλον μειώθηκαν;Μάλλον μειώθηκαν;Rather decreased;Rather decreased;Rather decreased;Más bien han disminuido;Pigem vähenenud;Pikemminkin vähentyneet ;A plutôt diminué;A plutôt diminué;A plutôt diminué;A plutôt diminué;Donekle smanjila;Inkább csökkent;Heldur fækkað;Diminuita;Diminuita;Greičiau sumažėjo;Eischter ofgeholl;Drīzāk samazinājies;Тенденција на опаѓање;Pjuttost naqsu;Eerder afgenomen;Eerder afgenomen;Gått ned;Raczej zmalała;Diminuíram;A scăzut relativ;Скорее сократились;Скорее сократились;Скорее сократились;Skôr sa znížila;Dokaj zmanjšala;Prilično se smanjilo;Snarare minskat;Snarare minskat
Answer;E3Q160;Stayed about the same;3;Останал е почти същият;Zůstal přibližně stejný;Forblevet nogenlunde uændret;In etwa gleich geblieben;In etwa gleich geblieben;In etwa gleich geblieben;In etwa gleich geblieben;Παρέμειναν οι ίδιες;Παρέμειναν οι ίδιες;Stayed about the same;Stayed about the same;Stayed about the same;Se han mantenido aproximadamente igual;Jäänud ligikaudu samaks;Pysyneet suunnilleen ennallaan;Est resté identique;Est resté identique;Est resté identique;Est resté identique;Ostala otprilike ista;Nagyjából ugyanolyan maradt;Haldist nokkurn veginn óbreyttar;Rimasta invariata;Rimasta invariata;Liko maždaug toks pat;Ongeféier d'selwescht bliwwen;Palicis aptuveni tāds pats;Речиси исто ниво;Baqgħu kważi l-istess;Ongeveer gelijk gebleven;Hetzelfde gebleven;Holdt seg likt;Pozostała mniej więcej na tym samym poziomie;Permaneceram relativamente iguais;A rămas aproximativ la fel;Остались примерно на том же уровне;Остались примерно на том же уровне;Остались примерно на том же уровне;Zostala približne rovnaká;Ostala približno enaka;Ostalo je približno isto;Varit ungefär densamma;Varit ungefär desamma
Answer;E3Q160;No work-related accidents occurred over the last 3 years;4;Никакви трудови злополуки не са се случвали през последните 3 години;Během posledních 3 let nedošlo k žádnému pracovnímu úrazu;Der har ikke været arbejdsrelaterede ulykker gennem de seneste 3 år;In den vergangenen 3 Jahren gab es keine Arbeitsunfälle;In den vergangenen 3 Jahren gab es keine Arbeitsunfälle;In den vergangenen 3 Jahren gab es keine Arbeitsunfälle;In den vergangenen 3 Jahren gab es keine Arbeitsunfälle;Δεν σημειώθηκαν ατυχήματα κατά την ώρα εργασίας κατά τα τελευταία 3 χρόνια;Δεν σημειώθηκαν ατυχήματα κατά την ώρα εργασίας κατά τα τελευταία 3 χρόνια;No work-related accidents occurred over the last 3 years;No work-related accidents occurred over the last 3 years;No work-related accidents occurred over the last 3 years;No se han producido accidentes de trabajo en los últimos 3 años;Viimasel 3 aastal pole tööõnnetusi juhtunud;Ei työtapaturmia viimeisten kolmen vuoden aikana;Aucun accident du travail n'est survenu au cours des 3 dernières années;Aucun accident du travail n'est survenu au cours des 3 dernières années;Aucun accident du travail n'est survenu au cours des 3 dernières années;Aucun accident du travail n'est survenu au cours des 3 dernières années;Nije bilo nesreća na radu u zadnje 3 godine;Nem fordult elő munkahelyi baleset az elmúlt 3 évben;Engin vinnuslys urðu á síðustu 3 árum;Non si sono verificati incidenti sul lavoro negli ultimi 3 anni;Non si sono verificati incidenti sul lavoro negli ultimi 3 anni;Per pastaruosius 3 metus nelaimingų atsitikimų darbe nebuvo;Et si keng Aarbechtsaccidenter an de leschten 3 Joer virgefall;Pēdējo 3 gadu laikā nav bijuši ar darbu saistīti nelaimes gadījumi;Во последниве 3 години не се случиле незгоди поврзани со работата;Ma kienx hemm inċidenti relatati max-xogħol matul dawn l-aħħar 3 snin;In de afgelopen drie jaar zijn er geen werkgerelateerde ongelukken gebeurd;Er gebeurden de afgelopen 3 jaar geen werkgerelateerde ongevallen;Ingen arbeidsrelaterte ulykker i løpet av de siste tre årene;Brak wypadków przy pracy w ciągu ostatnich 3 lat;Não ocorreram acidentes relacionados com o trabalho nos últimos 3 anos;Nu a avut loc niciun accident de muncă în ultimii 3 ani;За последние три года не было несчастных случаев на производстве;За последние три года не было несчастных случаев на производстве;За последние три года не было несчастных случаев на производстве;Za posledné tri roky nedošlo k žiadnym pracovným úrazom;V preteklih 3 letih se ni zgodila nobena nesreča, povezana z delom;Nije se dogodila nijedna povreda na radu u protekle tri godine;Inga arbetsrelaterade olyckor har inträffat under de senaste 3 åren;Inga arbetsrelaterade olyckor har inträffat under de senaste 3 åren
Answer;E3Q160;Don’t know;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_5;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_6;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_6;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_7;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_7;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_8;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_8;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_9;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_9;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_10;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q200_10;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_1;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_1;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_2;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_2;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_3;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_3;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_4;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_4;No;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Answer;E3Q201_5;Yes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
