langCode|##|question|##|comments|##|name1|##|name2|##|name3|##|bottomText|##|order
DE_3|##|E3Q155|##|changed|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind|##|Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?|##|<p>Gibt es in Ihrem Betrieb ein Dokument, in dem die Verantwortlichkeiten oder Verfahren zu Sicherheit und Gesundheitsschutz erklärt sind?<br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|9
EL|##|E3Q155|##|changed|##|Ένα έγγραφο που επεξηγεί αρμοδιότητες ή διαδικασίες σχετικά με την υγεία και την ασφάλεια|##|Ένα έγγραφο που επεξηγεί αρμοδιότητες ή διαδικασίες σχετικά με την υγεία και την ασφάλεια|##|Διαθέτει ο χώρος εργασίας σας έγγραφο το οποίο επεξηγεί τις ευθύνες ή τις διαδικασίες για την υγεία και την ασφάλεια;|##|<p>Διαθέτει ο χώρος εργασίας σας έγγραφο το οποίο επεξηγεί τις ευθύνες ή τις διαδικασίες για την υγεία και την ασφάλεια;<br>1 Ναι  <br>2 Όχι  <br>9 Καμία απάντηση  </p>|##|9
EL_1|##|E3Q155|##|changed|##|Ένα έγγραφο που επεξηγεί αρμοδιότητες ή διαδικασίες σχετικά με την υγεία και την ασφάλεια|##|Ένα έγγραφο που επεξηγεί αρμοδιότητες ή διαδικασίες σχετικά με την υγεία και την ασφάλεια|##|Διαθέτει ο χώρος εργασίας σας έγγραφο το οποίο επεξηγεί τις ευθύνες ή τις διαδικασίες για την υγεία και την ασφάλεια;|##|<p>Διαθέτει ο χώρος εργασίας σας έγγραφο το οποίο επεξηγεί τις ευθύνες ή τις διαδικασίες για την υγεία και την ασφάλεια;<br>1 Ναι  <br>2 Όχι  <br>9 Καμία απάντηση  </p>|##|9
EN|##|E3Q155|##|changed|##|A document explaining responsibilities or procedures on health and safety|##|A document explaining responsibilities or procedures on health and safety|##|Does your establishment have a document in place that explains responsibilities or procedures on health and safety?|##|<p id="questionNoteP">Does your establishment have a document in place that explains responsibilities or procedures on health and safety?<br>1 Yes<br>2 No<br>9 No answer</p>|##|9
EN_1|##|E3Q155|##|changed|##|A document explaining responsibilities or procedures on health and safety|##|A document explaining responsibilities or procedures on health and safety|##|Does your workplace have a document in place that explains responsibilities or procedures on health and safety?|##|<p>Does your workplace have a document in place that explains responsibilities or procedures on health and safety?<br>1 Yes  <br>2 No  <br>9 No answer  </p>|##|9
EN_2|##|E3Q155|##|changed|##|A document explaining responsibilities or procedures on health and safety|##|A document explaining responsibilities or procedures on health and safety|##|Does your establishment have a document in place that explains responsibilities or procedures on health and safety?|##|<p>Does your establishment have a document in place that explains responsibilities or procedures on health and safety?<br>1 Yes  <br>2 No  <br>9 No answer  </p>|##|9
ES|##|E3Q155|##|changed|##|Un documento que explica las responsabilidades o los procedimientos en materia de prevención de riesgos laborales|##|Un documento que explica las responsabilidades o los procedimientos en materia de prevención de riesgos laborales|##|¿Su centro de trabajo dispone de un documento donde se expliquen las responsabilidades o los procedimientos en materia de prevención de riesgos laborales?|##|<p>¿Su centro de trabajo dispone de un documento donde se expliquen las responsabilidades o los procedimientos en materia de prevención de riesgos laborales?<br>1 Sí  <br>2 No  <br>9 No contesta  </p>|##|9
ET|##|E3Q155|##|changed|##|Ohutuse ja tervishoiu kohustusi ja menetlusi selgitav dokument|##|Ohutuse ja tervishoiu kohustusi ja menetlusi selgitav dokument|##|Kas teie asutusel on olemas dokument, milles selgitatakse töötervishoiu ja tööohutusega seotud kohustusi või protseduure?|##|<p>Kas teie asutusel on olemas dokument, milles selgitatakse töötervishoiu ja tööohutusega seotud kohustusi või protseduure?<br>1 Jah  <br>2 Ei   <br> 9 Ei vasta</p>|##|9
FI|##|E3Q155|##|changed|##|Asiakirja, jossa kerrotaan työsuojelua koskevat vastuualueet ja menettelytavat|##|Asiakirja, jossa kerrotaan työsuojelua koskevat vastuualueet ja menettelytavat|##|Onko toimipaikallenne asiakirjaa, jossa kerrotaan työsuojelua koskevat vastuualueet tai menettelytavat?|##|<p>Onko toimipaikallenne asiakirjaa, jossa kerrotaan työsuojelua koskevat vastuualueet tai menettelytavat?<br>1 Kyllä   <br>2 Ei  <br> 9 Ei vastausta</p>|##|9
FR|##|E3Q155|##|changed|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?|##|<p>Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?<br>1 Oui  <br>2 Non  <br> 9 Pas de réponse</p>|##|9
FR_1|##|E3Q155|##|changed|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?|##|<p>Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?<br>1 Oui  <br>2 Non  <br> 9 Pas de réponse</p>|##|9
FR_2|##|E3Q155|##|changed|##|Un document détaillant les responsabilités ou les procédures en matière de sécurité et de santé|##|Un document détaillant les responsabilités ou les procédures en matière de sécurité et de santé|##|Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de sécurité et de santé ?|##|<p>Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de sécurité et de santé ?<br>1 Oui  <br>2 Non  <br> 9 Pas de réponse</p>|##|9
FR_3|##|E3Q155|##|changed|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité|##|Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?|##|<p>Est-ce que votre établissement possède un document détaillant les responsabilités ou les procédures en matière de santé et de sécurité ?<br>1 Oui  <br>2 Non  <br> 9 Pas de réponse</p>|##|9
HR|##|E3Q155|##|changed|##|Dokument u kojem se objašnjavaju odgovornosti ili postupci povezani sa zaštitom na radu|##|Dokument u kojem se objašnjavaju odgovornosti ili postupci povezani sa zaštitom na radu|##|Postoji li u vašoj poslovnoj jedinici dokument u kojem su objašnjene odgovornosti ili postupci povezani sa zaštitom na radu?|##|<p>Postoji li u vašoj poslovnoj jedinici dokument u kojem su objašnjene odgovornosti ili postupci povezani sa zaštitom na radu?<br>1 Da  <br>2 Ne  <br> 9 Nema odgovora</p>|##|9
HU|##|E3Q155|##|changed|##|Az egészségre és biztonságra vonatkozó kötelezettségeket vagy eljárásokat bemutató dokumentum|##|Az egészségre és biztonságra vonatkozó kötelezettségeket vagy eljárásokat bemutató dokumentum|##|Rendelkezik a létesítmény olyan érvényben levő dokumentummal, amelyik részletezi a munkavédelmi feladatokat vagy eljárásokat?|##|<p>Rendelkezik a létesítmény olyan érvényben levő dokumentummal, amelyik részletezi a munkavédelmi feladatokat vagy eljárásokat?<br>1 Igen   <br>2 Nem  <br> 9 Nincs válasz</p>|##|9
IS|##|E3Q155|##|changed|##|Skjal sem skýrir ábyrgð eða verklag varðandi heilsu og öryggi|##|Skjal sem skýrir ábyrgð eða verklag varðandi heilsu og öryggi|##|Er starfsstöðin með skjal sem útskýrir ábyrgð eða ferli í heilbrigðis- og öryggismálum?|##|<p>Er starfsstöðin með skjal sem útskýrir ábyrgð eða ferli í heilbrigðis- og öryggismálum?<br>1 Já  <br>2 Nei  <br> 9 Ekkert svar</p>|##|9
IT|##|E3Q155|##|changed|##|Un documento che spiega le responsabilità o le procedure in materia di sicurezza e salute|##|Un documento che spiega le responsabilità o le procedure in materia di sicurezza e salute|##|La sua sede dispone di un documento che illustra le responsabilità o le procedure in materia di salute e sicurezza?|##|<p>La sua sede dispone di un documento che illustra le responsabilità o le procedure in materia di salute e sicurezza?<br>1 Sì  <br>2 No  <br> 9 Non risponde</p>|##|9
IT_1|##|E3Q155|##|changed|##|Un documento che spiega le responsabilità o le procedure in materia di sicurezza e salute|##|Un documento che spiega le responsabilità o le procedure in materia di sicurezza e salute|##|La sua sede dispone di un documento che illustra le responsabilità o le procedure in materia di salute e sicurezza?|##|<p>La sua sede dispone di un documento che illustra le responsabilità o le procedure in materia di salute e sicurezza?<br>1 Sì  <br>2 No  <br> 9 Non risponde</p>|##|9
LT|##|E3Q155|##|changed|##|Dokumentas, kuriame išaiškintos darbuotojų saugos ir sveikatos procedūros ar atsakomybė|##|Dokumentas, kuriame išaiškintos darbuotojų saugos ir sveikatos procedūros ar atsakomybė|##|Ar Jūsų darbovietė turi galiojantį dokumentą, kuriame išaiškintos darbuotojų saugos ir sveikatos  procedūros ir atsakomybė?|##|<p>Ar Jūsų darbovietė turi galiojantį dokumentą, kuriame išaiškintos darbuotojų saugos ir sveikatos  procedūros ir atsakomybė?<br>1 Taip  <br>2 Ne  <br> 9 Neatsakė</p>|##|9
LU|##|E3Q155|##|changed|##|En Dokument, dat d'Responsabilitéiten oder Prozeduren am Beräich Gesondheet a Sécherheet erkläert|##|En Dokument, dat d'Responsabilitéiten oder Prozeduren am Beräich Gesondheet a Sécherheet erkläert|##|Verfüügt Äre Betrib iwwer en Dokument, dat d'Responsabilitéiten oder d'Prozedure wat d'Gesondheet an d'Sécherheet betrëfft erkläert?|##|<p>Verfüügt Äre Betrib iwwer en Dokument, dat d'Responsabilitéiten oder d'Prozedure wat d'Gesondheet an d'Sécherheet betrëfft erkläert?<br>1 Jo  <br>2 Neen  <br> 9 Keng Äntwert</p>|##|9
LV|##|E3Q155|##|changed|##|Dokuments, kurā paskaidroti pienākumi un procedūras, kas attiecas uz veselību un drošību|##|Dokuments, kurā paskaidroti pienākumi un procedūras, kas attiecas uz veselību un drošību|##|Vai jūsu uzņēmumā (iestādē)/ uzņēmuma (iestādes) vienībā ir dokuments, kurā ir izskaidroti ar darba aizsardzību saistītie pienākumi vai procedūras?|##|<p>Vai jūsu uzņēmumā (iestādē)/ uzņēmuma (iestādes) vienībā ir dokuments, kurā ir izskaidroti ar darba aizsardzību saistītie pienākumi vai procedūras?<br>1 Jā  <br>2 Nē  <br> 9 Nav atbildes</p>|##|9
MK|##|E3Q155|##|changed|##|Документ во кој се објаснети одговорностите или постапките поврзани со здравјето и безбедноста на работа|##|Документ во кој се објаснети одговорностите или постапките поврзани со здравјето и безбедноста на работа|##|Дали вашата компанија/организација има изготвено документ што ги објаснува одговорностите и постапките за безбедност и здравје при работа?|##|<p>Дали вашата компанија/организација има изготвено документ што ги објаснува одговорностите и постапките за безбедност и здравје при работа?<br>1 Да  <br>2 Не  <br> 9 Нема одговор</p>|##|9
MT|##|E3Q155|##|changed|##|Dokument li jispjega r-responsabbiltajiet jew il-proċeduri dwar is-saħħa u s-sigurtà|##|Dokument li jispjega r-responsabbiltajiet jew il-proċeduri dwar is-saħħa u s-sigurtà|##|L-istabbiliment tiegħek għandu dokument li jispjega r-responsabbiltajiet jew il-proċeduri dwar is-saħħa u s-sigurtà?|##|<p>L-istabbiliment tiegħek għandu dokument li jispjega r-responsabbiltajiet jew il-proċeduri dwar is-saħħa u s-sigurtà?<br>1 Iva  <br>2 Le  <br> 9 Mingħajr tweġiba</p>|##|9
NL|##|E3Q155|##|changed|##|Een document met uitleg over de verantwoordelijkheden of procedures op het gebied van veiligheid en gezondheid|##|Een document met uitleg over de verantwoordelijkheden of procedures op het gebied van veiligheid en gezondheid|##|Beschikt uw vestiging over een document met uitleg over de verantwoordelijkheden of procedures op het gebied van veiligheid en gezondheid?|##|<p>Beschikt uw vestiging over een document met uitleg over de verantwoordelijkheden of procedures op het gebied van veiligheid en gezondheid?<br>1 Ja  <br>2 Nee  <br> 9 Geen antwoord</p>|##|9
NL_1|##|E3Q155|##|changed|##|Een document dat de verantwoordelijkheden of procedures inzake gezondheid en veiligheid uitlegt|##|Een document met verantwoordelijkheden of procedures inzake gezondheid en veiligheid|##|Heeft uw vestiging een document dat de verantwoordelijkheden of procedures inzake gezondheid en veiligheid uitlegt?|##|<p>Heeft uw vestiging een document dat de verantwoordelijkheden of procedures inzake gezondheid en veiligheid uitlegt?<br>1 Ja  <br>2 Nee  <br> 9 Geen antwoord</p>|##|9
NO|##|E3Q155|##|changed|##|Et dokument som forklarer ansvar eller prosedyrer for HMS|##|Et dokument som forklarer ansvar eller prosedyrer for HMS|##|Har arbeidsplassen din et dokument på plass som forklarer ansvar eller prosedyrer for HMS? Dette kan være enten fysisk eller elektronisk.|##|<p>Har arbeidsplassen din et dokument på plass som forklarer ansvar eller prosedyrer for HMS? Dette kan være enten fysisk eller elektronisk.<br>1 Ja  <br>2 Nei  <br> 9 Intet svar</p>|##|9
PL|##|E3Q155|##|changed|##|Dokument wyjaśniający obowiązki lub procedury dotyczące bezpieczeństwa i higieny pracy|##|Dokument wyjaśniający obowiązki lub procedury dotyczące bezpieczeństwa i higieny pracy|##|Czy w Pana/Pani zakładzie istnieje dokument wyjaśniający obowiązki lub procedury dotyczące bezpieczeństwa i higieny pracy?|##|<p>Czy w Pana/Pani zakładzie istnieje dokument wyjaśniający obowiązki lub procedury dotyczące bezpieczeństwa i higieny pracy?<br>1 Tak  <br>2 Nie  <br> 9 Brak odpowiedzi</p>|##|9
PT|##|E3Q155|##|changed|##|Um documento que explica as responsabilidades ou procedimentos em matéria de segurança e saúde|##|Um documento que explica as responsabilidades ou procedimentos em matéria de segurança e saúde|##|O seu estabelecimento tem documentação em vigor que explique as responsabilidades ou procedimentos de segurança e saúde?|##|<p>O seu estabelecimento tem documentação em vigor que explique as responsabilidades ou procedimentos de segurança e saúde?<br>1 Sim  <br>2 Não  <br> 9 Não responde</p>|##|9
RO|##|E3Q155|##|changed|##|Document care explică responsabilitățile sau procedurile privind sănătatea și securitatea|##|Document care explică responsabilitățile sau procedurile privind sănătatea și securitatea|##|Instituția dumneavoastră dispune de un document care explică responsabilitățile sau procedurile privind securitatea și sănătatea în muncă?|##|<p>Instituția dumneavoastră dispune de un document care explică responsabilitățile sau procedurile privind securitatea și sănătatea în muncă?<br>1 Da  <br>2 Nu  <br> 9 Niciun răspuns</p>|##|9
RU_1|##|E3Q155|##|changed|##|Документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением|##|Документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением|##|Существует ли в вашем учреждении/предприятии/филиале документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением?|##|<p>Существует ли в вашем учреждении/предприятии/филиале документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением?<br>1 Да  <br>2 Нет  <br> 9 Нет ответа</p>|##|9
RU_2|##|E3Q155|##|changed|##|Документ, разъясняющий обязанности или процедуры, связанные с охраной труда|##|Документ, разъясняющий обязанности или процедуры, связанные с охраной труда|##|Существует ли в вашем учреждении/ предприятии/ филиале документ, разъясняющий обязанности или процедуры, связанные с охраной труда?|##|<p>Существует ли в вашем учреждении/ предприятии/ филиале документ, разъясняющий обязанности или процедуры, связанные с охраной труда?<br>1 Да  <br>2 Нет  <br> 9 Нет ответа</p>|##|9
RU_3|##|E3Q155|##|changed|##|Документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением|##|Документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением|##|Существует ли в вашем учреждении/предприятии/филиале документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением?|##|<p>Существует ли в вашем учреждении/предприятии/филиале документ, разъясняющий обязанности или процедуры, связанные с безопасностью труда и трудовым здравоохранением?<br>1 Да  <br>2 Нет  <br> 9 Нет ответа</p>|##|9
SK|##|E3Q155|##|changed|##|Dokument vysvetľujúci povinnosti alebo postupy v oblasti bezpečnosti a ochrany zdravia|##|Dokument vysvetľujúci povinnosti alebo postupy v oblasti bezpečnosti a ochrany zdravia|##|Má váš podnik vypracovaný dokument, ktorý vysvetľuje povinnosti alebo postupy v oblasti bezpečnosti a ochrany zdravia?|##|<p>Má váš podnik vypracovaný dokument, ktorý vysvetľuje povinnosti alebo postupy v oblasti bezpečnosti a ochrany zdravia?<br>1 Áno  <br>2 Nie  <br> 9 Žiadna odpoveď</p>|##|9
SL|##|E3Q155|##|changed|##|Dokument, ki pojasnjuje odgovornosti ali postopke v zvezi z varnostjo in zdravjem pri delu|##|Dokument, ki pojasnjuje odgovornosti ali postopke v zvezi z varnostjo in zdravjem pri delu|##|Ali v vaši poslovni enoti obstaja dokument, ki pojasnjuje odgovornosti ali postopke s področja varnosti in zdravja pri delu?|##|<p>Ali v vaši poslovni enoti obstaja dokument, ki pojasnjuje odgovornosti ali postopke s področja varnosti in zdravja pri delu?<br>1 Da  <br>2 Ne  <br> 9 Brez odgovora</p>|##|9
SR|##|E3Q155|##|changed|##|Dokument kojim se objašnjavaju odgovornosti ili postupci u vezi sa bezbednošću i zdravljem na radu|##|Dokument kojim se objašnjavaju odgovornosti ili postupci u vezi sa bezbednošću i zdravljem na radu|##|Da li vaša ustanova ima spreman dokument koji objašnjava odgovornosti ili postupke  u vezi sa bezbednošću i zdravljem na radu?|##|<p>Da li vaša ustanova ima spreman dokument koji objašnjava odgovornosti ili postupke  u vezi sa bezbednošću i zdravljem na radu?<br>1 Da  <br>2 Ne  <br> 9 Nema odgovora</p>|##|9
SV|##|E3Q155|##|changed|##|Ett dokument där det beskrivs vilka skyldigheter eller rutiner som gäller på arbetsmiljöområdet|##|Ett dokument där det beskrivs vilka skyldigheter eller rutiner som gäller på arbetsmiljöområdet|##|Finns det ett dokument på arbetsplatsen där det beskrivs vilka skyldigheter eller rutiner som gäller på arbetsmiljöområdet?|##|<p>Finns det ett dokument på arbetsplatsen där det beskrivs vilka skyldigheter eller rutiner som gäller på arbetsmiljöområdet?<br>1 Ja  <br>2 Nej  <br> 9 Inget svar</p>|##|9
SV_1|##|E3Q155|##|changed|##|Ett dokument där det beskrivs vilka skyldigheter eller rutiner som gäller på hälso- och säkerhetsområdet|##|Ett dokument där det beskrivs vilka skyldigheter eller rutiner som gäller på hälso- och säkerhetsområdet|##|Finns det ett dokument på arbetsplatsen där det beskrivs vilka skyldigheter eller rutiner som gäller på hälso- och säkerhetsområdet?|##|<p>Finns det ett dokument på arbetsplatsen där det beskrivs vilka skyldigheter eller rutiner som gäller på hälso- och säkerhetsområdet?<br>1 Ja  <br>2 Nej  <br> 9 Inget svar</p>|##|9
EN|##|E3Q157_1|##|no change|##|Raising awareness of nutrition|##|Raising awareness of nutrition|##|Raising awareness about healthy eating|##||##|11
EN|##|E3Q157_2|##|no change|##|Raising awareness of the prevention of addiction|##|Raising awareness of the prevention of addiction|##|Raising awareness on the prevention of addiction, e.g. to smoking, alcohol or drugs|##||##|12
BG|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Предприемате ли някои от следните мерки за насърчаване на доброто здраве сред служителите? Поощряване на спортните дейности в извънработно време<br>1 Да<br>2 Не<br>9 Без отговор</p>|##|13
CS|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Jsou na vašem pracovišti uplatňována některá z následujících opatření pro šíření zdravotní osvěty mezi zaměstnanci? Propagace sportovních aktivit mimo pracovní dobu</p><p>1 Ano<br>2 Ne<br>9 Bez odpovědi</p>|##|13
DA|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Har din virksomhed indført nogle af de følgende foranstaltninger for at fremme medarbejdernes sundhed? Støtter sportsaktiviteter uden for arbejdstiden  <br>1 Ja  <br>2 Nej  <br>9 Intet svar  </p>|##|13
DE|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Wendet Ihr Betrieb eine oder mehrere der folgenden Maßnahmen zur Gesundheitsförderung für die Beschäftigten an? Förderung sportlicher Aktivitäten außerhalb der Arbeitszeiten  <br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|13
DE_1|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Wendet Ihr Betrieb eine oder mehrere der folgenden  Maßnahmen zur Gesundheitsförderung für die Beschäftigten an? Förderung sportlicher Aktivitäten außerhalb der Arbeitszeiten  <br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|13
DE_2|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Wendet Ihr Betrieb eine oder mehrere der folgenden Maßnahmen zur Gesundheitsförderung für die Beschäftigten an? Förderung sportlicher Aktivitäten außerhalb der Arbeitszeiten  <br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|13
DE_3|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Wendet Ihr Betrieb eine oder mehrere der folgenden Massnahmen zur Gesundheitsförderung für die Beschäftigten an? Förderung sportlicher Aktivitäten ausserhalb der Arbeitszeit  <br>1 Ja  <br>2 Nein  <br>9 Keine Antwort  </p>|##|13
EL|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Λαμβάνονται στον χώρο εργασίας σας οποιαδήποτε από τα ακόλουθα μέτρα που αποσκοπούν στην προαγωγή της υγείας των εργαζομένων; Προαγωγή αθλητικών δραστηριοτήτων εκτός εργάσιμων ωρών  <br>1 Ναι  <br>2 Όχι  <br>9 Καμία απάντηση  </p>|##|13
EL_1|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Λαμβάνει ο χώρος εργασίας σας οποιοδήποτε από τα ακόλουθα μέτρα για την προώθηση της υγείας μεταξύ των εργαζομένων; Προώθηση αθλητικών δραστηριοτήτων εκτός εργάσιμων ωρών  <br>1 Ναι  <br>2 Όχι  <br>9 Καμία απάντηση  </p>|##|13
EN|##|E3Q157_3|##|only bottom text changed|##|Promotion of sports activities outside working hours|##|Promotion of sports activities outside working hours|##|Promotion of sports activities outside working hours|##|<p id="questionNoteP">Does your establishment take any of the following measures for health promotion among employees? Promotion of sports activities outside working hours<br>1 Yes<br>2 No<br>9 No answer</p>|##|13
EN_1|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Does your workplace take any of the following measures to promote health among employees? Promotion of sports activities outside working hours  <br>1 Yes  <br>2 No  <br>9 No answer  </p>|##|13
EN_2|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Does your establishment take any of the following measures for health promotion among employees? Promotion of sports activities outside of working hours  <br>1 Yes  <br>2 No  <br>9 No answer  </p>|##|13
ES|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>¿Toma su centro de trabajo alguna de las siguientes medidas para incentivar la salud de los trabajadores? Promover las actividades deportivas fuera del horario laboral  <br>1 Sí  <br>2 No  <br>9 No contesta  </p>|##|13
ET|##|E3Q157_3|##|only bottom text changed|##||##||##||##|<p>Kas teie asutuses rakendatakse töötajate tervise edendamiseks mõnda järgmistest meetmetest? Väljaspool tööaega sportimise edendamine<br>1 Jah  <br> 2 Ei   <br> 9 Ei vasta</p>|##|13
