Language|##|QuestionCode|##|Category|##|WebTranslation|##|FullTranslation|##|Note
EN|##|MM173_5|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: Employers’ organisations|##|Employers’ organisations|##|Has your establishment used health and safety information from any of the following bodies or institutions? Employers’ organisations
EN|##|MM173_6|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: Trade unions|##|Trade unions|##|Has your establishment used health and safety information from any of the following bodies or institutions? Trade unions
EN|##|MM173_7|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: Contracted health and safety experts|##|Contracted health and safety experts|##|Has your establishment used health and safety information from any of the following bodies or institutions? Contracted health and safety experts
EN|##|MM173_8|##|OSH Management |##|Has your establishment used health and safety information from any of the following bodies or institutions?: Insurance providers|##|Insurance providers|##|Has your establishment used health and safety information from any of the following bodies or institutions? Insurance providers
EN|##|MM175|##|OSH Management |##|Are you aware of the European Week for safety and health at work?|##|Are you aware of the European Week for safety and health at work?|##|Are you aware of the European Week for safety and health at work?
EN|##|MM200_1|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Dangerous substances (e.g. dusts, chemical, biological or radioactive)|##|Dangerous substances (e.g. dusts, chemical, biological or radioactive)|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Dangerous substances (e.g. dusts, chemical, biological or radioactive)
EN|##|MM200_2|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Accidents|##|Accidents|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Accidents
EN|##|MM200_3|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Noise and vibration|##|Noise and vibration|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Noise and vibration
EN|##|MM200_4|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Musculoskeletal disorders such as pain in the back, neck, arms or legs|##|Musculoskeletal disorders such as pain in the back, neck, arms or legs|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Musculoskeletal disorders such as pain in the back, neck, arms or legs
EN|##|MM200_5|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Work-related stress|##|Work-related stress|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Work-related stress
EN|##|MM200_6|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Violence or threat of violence|##|Violence or threat of violence|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Violence or threat of violence
EN|##|MM200_7|##|OSH Management |##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment.: Bullying or harassment, i.e. abuse, humiliation or assault by colleagues or superiors|##|Bullying or harassment, i.e. abuse, humiliation or assault by colleagues or superiors|##|For each of the following issues, please tell me whether it is of major concern, some concern or no concern at all in your establishment. Bullying or harassment, i.e. abuse, humiliation or assault by colleagues or superiors
EN|##|MM202_1|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Time pressure|##|Time pressure|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Time pressure"
EN|##|MM202_2|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Poor communication between management and employees|##|Poor communication between management and employees|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Poor communication between management and employees"
EN|##|MM202_3|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Poor co-operation amongst colleagues|##|Poor co-operation amongst colleagues|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Poor co-operation amongst colleagues"
EN|##|MM202_4|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Lack of employee control in organising their work|##|Lack of employee control in organising their work|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Lack of employee control in organising their work"
EN|##|MM202_5|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Job insecurity|##|Job insecurity|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Job insecurity"
EN|##|MM202_6|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Having to deal with difficult customers, patients, pupils etc.|##|Having to deal with difficult customers, patients, pupils etc.|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Having to deal with difficult customers, patients, pupils etc."
EN|##|MM202_7|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Problems in supervisor – employee relationships|##|Problems in supervisor – employee relationships|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Problems in supervisor – employee relationships"
EN|##|MM202_8|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Long or irregular working hours|##|Long or irregular working hours|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Long or irregular working hours"
EN|##|MM202_9|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: An unclear human resources policy|##|An unclear human resources policy|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. An unclear human resources policy"
EN|##|MM202_10|##|Psychosocial risks and their management |##|Please tell me whether any of the following psychosocial risks are a concern in your establishment.: Discrimination (for example due to gender, age or ethnicity)|##|Discrimination (for example due to gender, age or ethnicity)|##|"Several factors can contribute to stress, violence and harassment at work; they concern the way work is organised and are often referred to as ‘psychosocial risks’. Please tell me whether any of the following psychosocial risks are a concern in your establishment. Discrimination (for example due to gender, age or ethnicity)"
EN|##|MM250|##|Psychosocial risks and their management |##|Does your establishment have a procedure to deal with work-related stress?|##|Does your establishment have a procedure to deal with work-related stress?|##|Does your establishment have a procedure to deal with work-related stress?
EN|##|MM251|##|Psychosocial risks and their management |##|Is there a procedure in place to deal with bullying or harassment?|##|Is there a procedure in place to deal with bullying or harassment?|##|Is there a procedure in place to deal with bullying or harassment?
EN|##|MM252|##|Psychosocial risks and their management |##|And do you have a procedure to deal with work-related violence?|##|And do you have a procedure to deal with work-related violence?|##|And do you have a procedure to deal with work-related violence?
EN|##|MM253_1|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: Changes to the way work is organised|##|Changes to the way work is organised|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? Changes to the way work is organised
EN|##|MM253_2|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: A redesign of the work area|##|A redesign of the work area|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? A redesign of the work area
EN|##|MM253_3|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: Confidential counselling for employees|##|Confidential counselling for employees|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? Confidential counselling for employees
EN|##|MM253_4|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: Set-up of a conflict resolution procedure|##|Set-up of a conflict resolution procedure|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? Set-up of a conflict resolution procedure
EN|##|MM253_5|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: Changes to working time arrangements|##|Changes to working time arrangements|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? Changes to working time arrangements
EN|##|MM253_6|##|Psychosocial risks and their management |##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks?: Provision of training|##|Provision of training|##|In the last 3 years, has your establishment used any of the following measures to deal with psychosocial risks? Provision of training
EN|##|MM256|##|Psychosocial risks and their management |##|Does your establishment take action if individual employees work excessively long or irregular hours?|##|Does your establishment take action if individual employees work excessively long or irregular hours?|##|Does your establishment take action if individual employees work excessively long or irregular hours?
EN|##|MM259|##|Psychosocial risks and their management |##|Do you inform employees about psychosocial risks and their effect on health and safety?|##|Do you inform employees about psychosocial risks and their effect on health and safety?|##|Do you inform employees about psychosocial risks and their effect on health and safety?
EN|##|MM260|##|Psychosocial risks and their management |##|Have they been informed about whom to address in case of work-related psychosocial problems?|##|Have they been informed about whom to address in case of work-related psychosocial problems?|##|Have they been informed about whom to address in case of work-related psychosocial problems?
EN|##|MM171_1|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Fulfilment of legal obligation|##|Fulfilment of legal obligation|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Fulfilment of legal obligation
EN|##|MM171_2|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Requests from employees or their representatives|##|Requests from employees or their representatives|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Requests from employees or their representatives
EN|##|MM171_3|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Staff retention and absence management|##|Staff retention and absence management|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Staff retention and absence management
EN|##|MM171_4|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Economic or performance-related reasons|##|Economic or performance-related reasons|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Economic or performance-related reasons
EN|##|MM171_5|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Requirements from clients or concern about the organisation’s reputation|##|Requirements from clients or concern about the organisation’s reputation|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Requirements from clients or concern about the organisation’s reputation
EN|##|MM171_6|##|Drivers and barriers |##|Reasons for addressing health and safety in the establishment: Pressure from the Health and Safety Executive|##|Pressure from the Health and Safety Executive|##|In your establishment, how important are the following reasons for addressing health and safety? For each one, please tell me whether it is a major reason, a minor reason or not a reason at all. Pressure from the Health and Safety Executive
EN|##|MM172_1|##|Drivers and barriers |##|Main difficulties in addressing health and safety: A lack of resources such as time, staff or money|##|A lack of resources such as time, staff or money|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. A lack of resources such as time, staff or money
EN|##|MM172_2|##|Drivers and barriers |##|Main difficulties in addressing health and safety: A lack of awareness|##|A lack of awareness|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. A lack of awareness
EN|##|MM172_3|##|Drivers and barriers |##|Main difficulties in addressing health and safety: A lack of expertise|##|A lack of expertise|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. A lack of expertise
EN|##|MM172_4|##|Drivers and barriers |##|Main difficulties in addressing health and safety: A lack of technical support or guidance|##|A lack of technical support or guidance|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. A lack of technical support or guidance
EN|##|MM172_5|##|Drivers and barriers |##|Main difficulties in addressing health and safety: The culture within the establishment|##|The culture within the establishment|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. The culture within the establishment
EN|##|MM172_6|##|Drivers and barriers |##|Main difficulties in addressing health and safety: The sensitivity of the issue|##|The sensitivity of the issue|##|In your establishment, what are the main difficulties in dealing with health and safety? Please tell me for each of the following whether it is a major difficulty, a minor difficulty, or not a difficulty at all. The sensitivity of the issue
EN|##|MM300|##|Drivers and barriers |##|Compared to other safety and health issues: Is it more difficult to tackle psychosocial risks, is it less difficult, or is there no difference?|##|Compared to other safety and health issues: Is it more difficult to tackle psychosocial risks, is it less difficult, or is there no difference?|##|Compared to other safety and health issues: Is it more difficult to tackle psychosocial risks, is it less difficult, or is there no difference?
EN|##|MM302|##|Drivers and barriers |##|Have you used information or support from external sources on how to deal with psychosocial risks at work?|##|Have you used information or support from external sources on how to deal with psychosocial risks at work?|##|Have you used information or support from external sources on how to deal with psychosocial risks at work?
EN|##|MM303a|##|Drivers and barriers |##|Would you need any additional information or support on this issue?|##|Would you need any additional information or support on this issue?|##|Would you need any additional information or support on this issue?<br><br>Question asked to those establishments that report using information or support from external sources on how to deal with psychosocial risks at work.
EN|##|MM350|##|Employee participation|##|Do you have a Joint Consultative Committee, Employee Forum or equivalent body in this establishment?|##|Do you have a Joint Consultative Committee, Employee Forum or equivalent body in this establishment?|##|Do you have a Joint Consultative Committee, Employee Forum or equivalent body in this establishment?
EN|##|MM351|##|Employee participation|##|And is there a recognised workplace trade union representative in your establishment?|##|And is there a recognised workplace trade union representative in your establishment?|##|And is there a recognised workplace trade union representative in your establishment?
EN|##|MM355all|##|Employee participation|##|Does your establishment have a health and safety representative?|##|Does your establishment have a health and safety representative?|##|Does your establishment have a health and safety representative?<br><br>NL: Is there a health and safety representative in this establishment?
EN|##|MM358|##|Employee participation|##|Is there a health and safety committee in your establishment?|##|Is there a health and safety committee in your establishment?|##|Is there a health and safety committee in your establishment?
BG|##|MM150_1|##|Управление на БЗР|##|Използване на услуги по здравето и безопасността: Лекар - експерт по здраве на работното място|##|Лекар - експерт по здраве на работното място|##|Услугите на кои от следните специалисти ползвате, били те вътрешнофирмени или наети отвън?Лекар - експерт по здраве на работното място
BG|##|MM150_2|##|Управление на БЗР|##|Използване на услуги по здравето и безопасността: Експерт по безопасността|##|Експерт по безопасността|##|Услугите на кои от следните специалисти ползвате, били те вътрешнофирмени или наети отвън?Експерт по безопасността
BG|##|MM150_3|##|Управление на БЗР|##|Използване на услуги по здравето и безопасността: Психолог|##|Психолог|##|Услугите на кои от следните специалисти ползвате, били те вътрешнофирмени или наети отвън?Психолог
BG|##|MM150_4|##|Управление на БЗР|##|Използване на услуги по здравето и безопасността: Специалист по ергономични въпроси - здравословна организация на работното място|##|Специалист по ергономични въпроси - здравословна организация на работното място|##|Услугите на кои от следните специалисти ползвате, били те вътрешнофирмени или наети отвън?Специалист по ергономични въпроси - здравословна организация на работното място
BG|##|MM150_5|##|Управление на БЗР|##|Използване на услуги по здравето и безопасността: Консултант по безопасност и здраве при работа|##|Консултант по безопасност и здраве при работа|##|Услугите на кои от следните специалисти ползвате, били те вътрешнофирмени или наети отвън?Консултант по безопасност и здраве при работа
BG|##|MM152|##|Управление на БЗР|##|Във Вашето предприятие анализират ли се регулярно причините за отсъствие от работа поради болест?|##|Във Вашето предприятие анализират ли се регулярно причините за отсъствие от работа поради болест?|##|Във Вашето предприятие анализират ли се регулярно причините за отсъствие от работа поради болест?
BG|##|MM153|##|Управление на БЗР|##|Предприемате ли някакви мерки, за да подпомагате работници и служители да се върнат на работа след дълго отсъствие поради болест ?|##|Предприемате ли някакви мерки, за да подпомагате работници и служители да се върнат на работа след дълго отсъствие поради болест ?|##|Предприемате ли някакви мерки, за да подпомагате работници и служители да се върнат на работа след дълго отсъствие поради болест ?
BG|##|MM154|##|Управление на БЗР|##|Следи ли се здравето на работниците и служителите, чрез регулярни медицински прегледи ?|##|Следи ли се здравето на работниците и служителите, чрез регулярни медицински прегледи ?|##|Следи ли се здравето на работниците и служителите, чрез регулярни медицински прегледи ?
BG|##|MM155|##|Управление на БЗР|##|Има ли във Вашето предприятие документирана политика, установена управленска система или план за действие, отнасящи се до безопасността и здравето при работа?|##|Има ли във Вашето предприятие документирана политика, установена управленска система или план за действие, отнасящи се до безопасността и здравето при работа?|##|Има ли във Вашето предприятие документирана политика, установена управленска система или план за действие, отнасящи се до безопасността и здравето при работа?
BG|##|MM158|##|Управление на БЗР|##|Колко често се повдигат въпроси, относно безопасността и здравето при работа по време на срещите на управителите? Дали това се случва редовно, от време на време или почти никога ?|##|Колко често се повдигат въпроси, относно безопасността и здравето при работа по време на срещите на управителите? Дали това се случва редовно, от време на време или почти никога ?|##|Колко често се повдигат въпроси, относно безопасността и здравето при работа по време на срещите на управителите? Дали това се случва редовно, от време на време или почти никога ?
BG|##|MM159|##|Управление на БЗР|##|Като цяло, как бихте оценили степента на ангажираност на управителите и ръководителите в управлението на безопасността и здравето при работа? Дали тя е много висока, по-скоро висока, по-скоро ниска или много ниска?|##|Като цяло, как бихте оценили степента на ангажираност на управителите и ръководителите в управлението на безопасността и здравето при работа? Дали тя е много висока, по-скоро висока, по-скоро ниска или много ниска?|##|Като цяло, как бихте оценили степента на ангажираност на управителите и ръководителите в управлението на безопасността и здравето при работа? Дали тя е много висока, по-скоро висока, по-скоро ниска или много ниска?
BG|##|MM161|##|Управление на БЗР|##|Дали работните места във Вашето предприятие редовно са проверявани за съответствие с изискванията за безопасност и здраве при работа като част от някаква система за оценка на риска или нещо подобно?|##|Дали работните места във Вашето предприятие редовно са проверявани за съответствие с изискванията за безопасност и здраве при работа като част от някаква система за оценка на риска или нещо подобно?|##|Дали работните места във Вашето предприятие редовно са проверявани за съответствие с изискванията за безопасност и здраве при работа като част от някаква система за оценка на риска или нещо подобно?
BG|##|MM170|##|Управление на БЗР|##|Посещавани ли са работните помещения на предприятието от Инспекцията по труда през последните 3 години, за да се направи проверка на условията на безопасност и здраве при работа?|##|Посещавани ли са работните помещения на предприятието от Инспекцията по труда през последните 3 години, за да се направи проверка на условията на безопасност и здраве при работа?|##|Посещавани ли са работните помещения на предприятието от Инспекцията по труда през последните 3 години, за да се направи проверка на условията на безопасност и здраве при работа?
BG|##|MM173_1|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Национални институти по безопасност и здраве при работа|##|Национални институти по безопасност и здраве при работа|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Национални институти по безопасност и здраве при работа
BG|##|MM173_2|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Европейската агенция за безопасност и здраве при работа|##|Европейската агенция за безопасност и здраве при работа|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Европейската агенция за безопасност и здраве при работа
BG|##|MM173_3|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Вътрешнофирмени органи по безопасност и здраве при работа|##|Вътрешнофирмени органи по безопасност и здраве при работа|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Вътрешнофирмени органи по безопасност и здраве при работа
BG|##|MM173_4|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Инспекцията по труда|##|Инспекцията по труда|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Инспекцията по труда
BG|##|MM173_5|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Организации на работодатели|##|Организации на работодатели|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Организации на работодатели
BG|##|MM173_6|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Синдикатите|##|Синдикатите|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Синдикатите
BG|##|MM173_7|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Наети външни експерти по безопасност и здраве при работа|##|Наети външни експерти по безопасност и здраве при работа|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Наети външни експерти по безопасност и здраве при работа
BG|##|MM173_8|##|Управление на БЗР|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?: Застрахователи|##|Застрахователи|##|Вашето предприятие ползвало ли е данни за безопасност и здраве при работа на някои от следните органи или институции?Застрахователи
BG|##|MM175|##|Управление на БЗР|##|Чували ли сте за Европейската седмица за безопасност и здраве при работа?|##|Чували ли сте за Европейската седмица за безопасност и здраве при работа?|##|Чували ли сте за Европейската седмица за безопасност и здраве при работа?
BG|##|MM200_1|##|Управление на БЗР|##|Моля, кажете ми за всяки от изброените теми, дали й се обръща голямо внимание, обръща й се известно внимание или не й се обръща внимание във Вашето предприятие.:Опасни вещества (- напр. Замърсители - химически, биологични или радиоактивни)|##|Опасни вещества (- напр. Замърсители - химически, биологични или радиоактивни)|##|Моля, кажете ми за всяки от изброените теми, дали й се обръща голямо внимание, обръща й се известно внимание или не й се обръща внимание във Вашето предприятие.Опасни вещества (Анк.: ако се налага обяснете - напр. замърсители - химически, биологични или радиоактивни)
